english_name,indonesian_name,is_dangerous
"2,3-DIMETHYL-2-NONENENITRILE","2,3-DIMETHYL-2-NONENENITRILE",False
"2,3-DIMETHYL-4-(2,6, 6-TRIMETHYL-1-CYCLOHEXENYL)-2-BUTENAL","2,3-DIMETHYL-4-(2,6, 6-TRIMETHYL-1-CYCLOHEXENYL)-2-BUTENAL",False
"2,3-EPOXYPROPYL COCODIMONIUM CHLORIDE","2,3-EPOXYPROPYL COCODIMONIUM CHLORIDE",False
"2,3-EPOXYPROPYL LAURYLDIMONIUM CHLORIDE","2,3-EPOXYPROPYL LAURYLDIMONIUM CHLORIDE",False
"2,3-EPOXYPROPYLTRIMONIIUM CHLORIDE","2,3-EPOXYPROPYLTRIMONIIUM CHLORIDE",False
"2,3-XYLENOL","2,3-XYLENOL",False
"2,3, 4,4A, 5,6, 7,8-OCTAHYDRO-2,5, 5-TRIMETHYL-2-NAPHTHOL","2,3, 4,4A, 5,6, 7,8-OCTAHYDRO-2,5, 5-TRIMETHYL-2-NAPHTHOL",False
"2,3, 6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE","2,3, 6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE",False
"2,3, 6-TRIMETHYLPHENOL","2,3, 6-TRIMETHYLPHENOL",False
"2,4-DIAMINOPHENOXYETHANOL HCL","2,4-DIAMINOPHENOXYETHANOL HCL",False
"2,4-DIAMINOPHENOXYETHANOL SULFATE","2,4-DIAMINOPHENOXYETHANOL SULFATE",False
"2,4-DIETHYLPHENYL METHYL KETONE","2,4-DIETHYLPHENYL METHYL KETONE",False
"2,4-DIMETHYL CYCLOHEXENECARBONITRILE","2,4-DIMETHYL CYCLOHEXENECARBONITRILE",False
"2,4-DIMETHYL-2-(5,6, 7,8-TETRAHYDRO-3,5, 5,6, 8,8-HEXAMETHYL-2-NAPHTHALENYL)-1,3-DIOXOLANE","2,4-DIMETHYL-2-(5,6, 7,8-TETRAHYDRO-3,5, 5,6, 8,8-HEXAMETHYL-2-NAPHTHALENYL)-1,3-DIOXOLANE",False
"2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE","2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE",False
"2,4-DIMETHYL-3-CYCLOHEXENE-1-METHANOL","2,4-DIMETHYL-3-CYCLOHEXENE-1-METHANOL",False
"2,4-DIMETHYL-3-CYCLOHEXENE-1-METHYLACETATE","2,4-DIMETHYL-3-CYCLOHEXENE-1-METHYLACETATE",False
"2,4-DIMETHYL-4-PHENYLTETRAHYDROFURAN","2,4-DIMETHYL-4-PHENYLTETRAHYDROFURAN",False
"2,4-DIMETHYL-4,4A, 5,9B-TETRAHYDROINDENO-1,3-DIOXIN","2,4-DIMETHYL-4,4A, 5,9B-TETRAHYDROINDENO-1,3-DIOXIN",False
"2,4-DIMETHYLBENZYLACETATE","2,4-DIMETHYLBENZYLACETATE",False
